"APMaxBasicDate" "APMBRSingle" "APMBRCoupled"
"1/07/1909" NA 52
"12/10/1916" NA 65
"1/01/1920" NA 78
"13/09/1923" NA 91
"8/10/1925" NA 104
"23/07/1931" NA 91
"13/10/1932" NA 78
"26/10/1933" NA 91
"4/07/1935" NA 93.6
"24/09/1936" NA 98.8
"9/09/1937" NA 104
"26/12/1940" NA 109.2
"3/04/1941" NA 111.8
"11/12/1941" NA 122.2
"2/04/1942" NA 130
"1/10/1942" NA 132.6
"7/01/1943" NA 135.2
"1/04/1943" NA 137.8
"5/08/1943" NA 140.4
"5/07/1945" NA 169
"3/07/1947" NA 195
"21/10/1948" NA 221
"2/11/1950" NA 260
"1/11/1951" NA 312
"2/10/1952" NA 351
"29/10/1953" NA 364
"27/10/1955" NA 416
"24/10/1957" NA 455
"8/10/1959" NA 494
"6/10/1960" NA 520
"5/10/1961" NA 546
"14/11/1963" 598 546
"1/10/1964" 624 572
"13/10/1966" 676 611
"10/10/1968" 728 650
"9/10/1969" 780 689
"8/10/1970" 806 715
"8/04/1971" 832 741
"7/10/1971" 897 793
"4/05/1972" 949 832
"5/10/1972" 1040 897
"14/12/1972" 1118 975
"4/10/1973" 1196 1053
"4/04/1974" 1352 1183
"8/08/1974" 1612 1339
"1/05/1975" 1872 1560
"13/11/1975" 2015 1677
"13/05/1976" 2145 1781
"11/11/1976" 2262 1885
"12/05/1977" 2449.2 2041
"10/11/1977" 2563.6 2137.2
"11/05/1978" 2675.4 2230.8
"9/11/1978" 2766.4 2306.2
"8/11/1979" 3010.8 2509
"8/05/1980" 3174.6 2644.2
"6/11/1980" 3333.2 2776.8
"7/05/1981" 3465.8 2888.6
"5/11/1981" 3624.4 3021.2
"6/05/1982" 3855.8 3213.6
"4/11/1982" 4017 3348.8
"5/05/1983" 4282.2 3569.8
"3/11/1983" 4466.8 3723.2
"3/05/1984" 4648.8 3876.6
"1/11/1984" 4778.8 3985.8
"2/05/1985" 4903.6 4089.8
"14/11/1985" 5090.8 4245.8
"1/05/1986" 5309.2 4427.8
"25/12/1986" 5522.4 4604.6
"25/06/1987" 5831.8 4862
"24/12/1987" 6037.2 5031
"23/06/1988" 6242.6 5202.6
"22/12/1988" 6461 5384.6
"22/06/1989" 6718.4 5600.4
"23/11/1989" 6947.2 5790.2
"26/04/1990" 7342.4 6120.4
"27/09/1990" 7584.2 6323.2
"28/03/1991" 7841.6 6539
"26/09/1991" 7841.6 6539
"26/03/1992" 7958.6 6637.8
"24/09/1992" 7958.6 6637.8
"28/01/1993" 8114.6 6767.8
"20/09/1993" 8221.2 6856.2
"20/03/1994" 8270.6 6897.8
"20/09/1994" 8361.6 6973.2
"20/03/1995" 8478.6 7072
"20/09/1995" 8733.4 7285.2
"20/03/1996" 8907.6 7430.8
"20/09/1996" 9006.4 7511.4
"20/03/1997" 9042.8 7542.6
"20/09/1997" 9042.8 7542.6
"20/03/1998" 9219.6 7690.8
"20/09/1998" 9289.8 7750.6
"20/03/1999" 9396.4 7841.6
"20/09/1999" 9529 7953.4
"20/03/2000" 9672 8073
"1/07/2000" 9672 8073
"20/09/2000" 9851.4 8223.8
"20/03/2001" 10049 8390.2
"20/09/2001" 10262.2 8569.6
"20/03/2002" 10550.8 8811.4
"20/09/2002" 10740.6 8970
"20/03/2003" 11018.8 9201.4
"20/09/2003" 11338.6 9469.2
"20/03/2004" 11629.8 9713.6
"20/09/2004" 11793.6 9848.8
"20/03/2005" 11934 9965.8
"20/09/2005" 12256.4 10233.6
"20/03/2006" 12529.4 10462.4
"20/09/2006" 12841.4 10725
"20/03/2007" 13176.8 11003.2
"20/09/2007" 13499.2 11273.6
"20/03/2008" 13728 11466
"20/09/2008" 14112.8 11785.8
"20/03/2009" 14307.8 11949.6
"20/09/2009" 16010.8 12069.2
"20/03/2010" 16749.2 12625.6
"20/09/2010" 17118.4 12903.8
"20/03/2011" 17443.4 13148.2
"20/09/2011" 17914 13504.4
"20/03/2012" 18077.8 13626.6
"20/09/2012" 18512 13954.2
"20/03/2013" 19076.2 14380.6
"20/09/2013" 19544.2 14731.6
"20/03/2014" 19916 15012.4
"20/09/2014" 20194.2 15223
"20/03/2015" 20337.2 15329.6
"20/09/2015" 20498.4 15451.8
"20/03/2016" 20664.8 15576.6
"20/09/2016" 20745.4 15639
