"APMeansTestDate" "APIncTestSingle" "APIncTestCoupled" "APAssetsSingleOwnHome" "APAssetsCoupledOwnHome" "APAssetsSingle" "APAssetsCoupled" "APChildExp" "APIncomeDeduction" "APIncomeRedRate"
"1/07/1909" 52 52 620 620 620 620 50 NA NA
"13/09/1923" 65 65 800 800 800 800 50 NA NA
"13/12/1941" 65 65 800 800 800 800 100 NA NA
"15/08/1946" 104 104 1300 1300 1300 1300 100 NA NA
"3/07/1947" 104 104 1300 1300 1300 1300 100 52 NA
"21/10/1948" 156 156 1500 1500 1500 1500 200 52 NA
"1/11/1951" 156 156 2000 2000 2000 2000 200 26 NA
"2/10/1952" 156 156 2000 2000 2000 2000 200 52 NA
"29/10/1953" 208 208 2500 2500 2500 2500 300 52 NA
"14/10/1954" 364 364 3500 3500 3500 3500 400 52 NA
"23/10/1958" 364 364 4500 4500 4500 4500 400 52 NA
"9/03/1961" 364 364 NA NA NA NA 400 52 NA
"13/10/1966" 364 364 NA NA NA NA 400 156 NA
"24/04/1967" 520 442 NA NA NA NA 400 156 NA
"9/10/1969" 520 442 NA NA NA NA 400 208 NA
"5/10/1972" 1040 897 NA NA NA NA 400 312 NA
"4/10/1973" 1040 897 NA NA NA NA 400 312 NA
"1/05/1975" 1040 897 NA NA NA NA 400 312 NA
"25/11/1976" 1040 897 NA NA NA NA NA 312 NA
"9/11/1978" 1040 897 NA NA NA NA NA 312 NA
"8/11/1979" 1040 897 NA NA NA NA NA 312 NA
"4/11/1982" 1560 1300 NA NA NA NA NA 312 NA
"3/11/1983" 1560 1300 NA NA NA NA NA 312 NA
"21/03/1985" 1560 1300 70000 50000 70000 50000 NA 312 NA
"1/05/1986" 1560 1300 75750 54000 75750 54000 NA 312 NA
"25/06/1987" 1560 1300 83250 59250 83250 59250 NA 312 NA
"9/07/1987" 2080 1820 83250 59250 83250 59250 NA 624 NA
"23/06/1988" 2080 1820 89250 63500 89250 63500 NA 624 NA
"22/06/1989" 2080 1820 96000 68500 96000 68500 NA 624 NA
"23/11/1989" 2080 1820 96000 68500 96000 68500 NA 624 NA
"26/04/1990" 2080 1820 96000 68500 96000 68500 NA 624 NA
"13/06/1990" 2080 1820 103500 73750 103500 73750 NA 624 NA
"1/07/1991" 2184 1924 110750 78750 110750 78750 NA 624 NA
"1/07/1992" 2236 1976 112500 80000 112500 80000 NA 624 NA
"1/07/1993" 2288 1976 112750 80250 112750 80250 NA 624 NA
"1/07/1994" 2340 2028 115000 81750 115000 81750 NA 624 NA
"1/07/1995" 2444 2132 118000 83750 118000 83750 NA 624 NA
"1/07/1996" 2548 2236 124000 88000 124000 88000 NA 624 NA
"1/07/1997" 2600 2288 125750 178500 215750 268500 NA NA 0.5
"1/07/1998" 2600 2288 125750 178500 215750 268500 NA NA 0.5
"1/07/1999" 2652 2340 127750 181500 219250 273000 NA NA 0.5
"1/07/2000" 2756 2444 133250 189500 228750 285000 NA NA 0.4
"1/07/2001" 2912 2600 141000 200500 242000 301500 NA NA 0.4
"1/07/2002" 3016 2652 145250 206500 249750 311000 NA NA 0.4
"1/07/2003" 3120 2756 149500 212500 257500 320500 NA NA 0.4
"1/07/2004" 3172 2808 153000 217500 263500 328000 NA NA 0.4
"1/07/2005" 3224 2860 157000 223000 270500 336500 NA NA 0.4
"1/07/2006" 3328 2964 161500 229000 278500 346000 NA NA 0.4
"1/07/2007" 3432 3016 166750 236500 287750 357500 NA NA 0.4
"1/07/2008" 3588 3120 171750 243500 296250 368000 NA NA 0.4
"1/07/2009" 3692 3224 178000 252500 307000 381500 NA NA 0.4
"20/09/2009" 3692 3224 178000 252500 307000 381500 NA NA 0.5
"1/07/2010" 3796 3328 181750 258000 313250 389500 NA NA 0.5
"1/07/2011" 3900 3432 186750 265000 321750 400000 NA NA 0.5
"1/07/2012" 3952 3484 192500 273000 332000 412500 NA NA 0.5
"1/07/2013" 4056 3588 196750 279000 339250 421500 NA NA 0.5
"1/07/2014" 4160 3692 202000 286500 348500 433000 NA NA 0.5
"1/07/2015" 4212 3744 205500 291500 354500 440500 NA NA 0.5
"1/07/2016" 4264 3796 209000 296500 360500 448000 NA NA 0.5
