"APPensionSuppDate" "APPSSingle" "APPSCoupled"
"1/07/2000" 387.4 322.4
"20/09/2000" 395.2 327.6
"20/03/2001" 403 332.8
"20/09/2001" 410.8 338
"20/03/2002" 416 343.2
"20/09/2002" 423.8 348.4
"20/03/2003" 429 353.6
"20/09/2003" 434.2 358.8
"20/03/2004" 439.4 364
"20/09/2004" 444.6 369.2
"20/03/2005" 449.8 374.4
"20/09/2005" 455 379.6
"20/03/2006" 462.8 384.8
"20/09/2006" 473.2 395.2
"20/03/2007" 475.8 397.8
"20/09/2007" 481 403
"20/03/2008" 488.8 410.8
"20/09/2008" 501.8 421.2
"20/03/2009" 507 423.8
"20/09/2009" 1458.6 1099.8
"20/03/2010" 1479.4 1115.4
"20/09/2010" 1500.2 1131
"20/03/2011" 1518.4 1144
"20/09/2011" 1554.8 1172.6
"20/03/2012" 1565.2 1180.4
"20/09/2012" 1575.6 1188.2
"20/03/2013" 1591.2 1198.6
"20/09/2013" 1604.2 1209
"20/03/2014" 1635.4 1232.4
"20/09/2014" 1651 1245.4
"20/03/2015" 1661.4 1253.2
"20/09/2015" 1677 1263.6
"20/03/2016" 1690 1274
"20/09/2016" 1692.6 1276.6
