"DeemingDate" "DeemBTR" "DeemATR" "DeemTASingle" "DeemTACoupled" "DeemTACoupledNoAP"
"1/07/1996" 0.05 0.07 30000 50000 25000
"23/01/1997" 0.04 0.06 30000 50000 25000
"1/07/1997" 0.04 0.06 30400 50600 25300
"20/09/1997" 0.03 0.05 30400 50600 25300
"1/07/1998" 0.03 0.05 30400 50600 25300
"20/03/1999" 0.03 0.045 30400 50600 25300
"1/07/1999" 0.03 0.045 30800 51200 25600
"20/03/2000" 0.035 0.055 30800 51200 25600
"1/07/2000" 0.035 0.055 31600 52600 26300
"1/07/2001" 0.03 0.045 33400 55800 27900
"20/03/2002" 0.025 0.04 33400 55800 27900
"1/07/2002" 0.025 0.04 34400 57400 28700
"1/07/2003" 0.025 0.04 35600 59400 29700
"20/03/2004" 0.03 0.05 35600 59400 29700
"1/07/2004" 0.03 0.05 36400 60600 30300
"1/07/2005" 0.03 0.05 37200 62000 31000
"1/07/2006" 0.03 0.05 38400 63800 31900
"20/03/2007" 0.035 0.055 38400 63800 31900
"1/07/2007" 0.035 0.055 39400 65400 32700
"20/03/2008" 0.04 0.06 39400 65400 32700
"1/07/2008" 0.04 0.06 41000 68200 34100
"17/11/2008" 0.03 0.05 41000 68200 34100
"26/01/2009" 0.03 0.04 41000 68200 34100
"20/03/2009" 0.02 0.03 41000 68200 34100
"1/07/2009" 0.02 0.03 42000 70000 35000
"20/03/2010" 0.03 0.045 42000 70000 35000
"1/07/2010" 0.03 0.045 43200 72000 36000
"1/07/2011" 0.03 0.045 44600 74400 37200
"1/07/2012" 0.03 0.045 45400 75600 37800
"20/03/2013" 0.025 0.04 45400 75600 37800
"1/07/2013" 0.025 0.04 46600 77400 38700
"4/11/2013" 0.02 0.035 46600 77400 38700
"1/07/2014" 0.02 0.035 48000 79600 39800
"20/03/2015" 0.0175 0.0325 48000 79600 39800
"1/07/2015" 0.0175 0.0325 48600 80600 40300
"1/07/2016" 0.0175 0.0325 49200 81600 40800
