"RADate" "RAMaxRatesSingle" "RAMaxRatesCoupled" "RAMaxRatesAFP1_2" "RAMaxRatesAFP3_more" "RAMaxRentSingle" "RAMaxRentSingleAFP" "RAMaxRentCoupled" "RAMaxRentCoupledAFP"
"25/12/1986" NA NA NA NA 30 30 30 30
"13/06/1989" NA NA NA NA 40 40 40 40
"13/06/1990" 50 50 60 70 40 40 40 40
"20/09/1990" 60 60 70 80 40 40 40 40
"20/03/1991" 62 62 72.4 82.7 50 50 50 50
"20/03/1992" 62.9 62.9 73.5 83.9 50 50 50 50
"20/09/1992" 63 63 73.6 84 50 50 50 50
"20/03/1993" 67.2 63.2 73.8 84.2 60 80 100 120
"20/09/1993" 68 64 74.8 85.2 60.8 81 101.4 121.6
"20/03/1994" 68.4 64.4 75.2 85.8 61.2 81.4 102 122.4
"20/09/1994" 69.2 65.2 76 86.8 61.8 82.2 103.2 123.8
"20/03/1995" 70.2 66.2 77 88 62.6 83.4 104.6 125.6
"20/09/1995" 72.4 68.2 79.4 90.6 64.4 86 107.8 129.4
"20/03/1996" 73.8 69.6 86 97.4 70.6 92.8 115 137
"20/09/1996" 74.6 70.4 87 98.4 71.4 93.8 116.2 138.6
"20/03/1997" 74.8 70.6 87 98.8 71.6 94.2 116.6 139.2
"20/09/1997" 74.8 70.6 87 98.8 71.6 94.2 116.6 139.2
"20/03/1998" 74.8 70.6 87 98.8 71.6 94.2 116.6 139.2
"20/09/1998" 75.2 71 88 99.4 72 94.8 117.2 140
"20/03/1999" 75.8 71.4 88.6 100 72.6 95.4 118 141
"20/09/1999" 76 71.6 88.8 100.4 72.8 95.6 118.4 141.4
"20/03/2000" 77.2 72.6 90.2 102 73.8 97 120.2 143.6
"1/07/2000" 85 79.8 99.26 112.14 73.8 97.02 120.2 143.64
"20/09/2000" 86.4 81.2 100.94 114.1 75 98.7 122.2 146.02
"20/03/2001" 88 82.8 103.04 116.48 78 102.62 127 151.9
"20/09/2001" 89.6 84.4 105 118.72 79.4 104.58 129.4 154.84
"20/03/2002" 90.6 85.4 106.26 120.12 80.4 105.84 131 156.66
"20/09/2002" 92 86.8 107.94 122.08 81.6 107.52 133 159.18
"20/03/2003" 93.2 88 109.48 123.76 82.8 109.06 134.8 161.42
"20/09/2003" 94.4 89.2 110.88 125.3 83.8 110.46 136.6 163.52
"20/03/2004" 95.4 90.2 112.14 126.7 84.8 111.72 138.2 165.34
"20/09/2004" 96.8 91.4 113.68 128.52 86 113.26 140.2 167.72
"20/03/2005" 98 92.4 115.08 130.06 87 114.66 141.8 169.68
"20/09/2005" 99.2 93.6 116.62 131.74 88.2 116.2 143.6 171.92
"20/03/2006" 100.6 95 118.3 133.7 89.6 117.88 145.8 174.44
"20/09/2006" 103.2 97.4 121.24 137.06 91.8 120.82 149.4 178.78
"20/03/2007" 104 98.2 122.22 138.18 92.6 121.8 150.6 180.18
"20/09/2007" 105.4 99.4 123.76 140 93.8 123.34 152.6 182.56
"20/03/2008" 107.2 101 125.86 142.38 95.4 125.44 155.2 185.64
"20/09/2008" 110.2 103.8 129.36 146.3 98 128.94 159.6 190.82
"20/03/2009" 111.2 104.8 130.48 147.56 98.8 130.06 161 192.5
"20/09/2009" 111.8 105.4 131.32 148.4 99.4 130.9 162 193.62
"20/03/2010" 113.4 107 133.28 150.64 100.8 132.86 164.4 196.56
"20/09/2010" 115.2 108.6 135.24 152.88 102.4 134.82 166.8 199.5
"20/03/2011" 116.4 109.8 136.78 154.56 103.6 136.36 168.6 201.74
"20/09/2011" 119.4 112.6 140.14 158.48 106.2 139.72 172.8 206.78
"20/03/2012" 120.2 113.2 140.98 159.46 106.8 140.56 173.8 208.04
"20/09/2012" 121 113.8 141.82 160.44 107.4 141.4 174.8 209.3
"20/03/2013" 123 115.6 144.06 162.96 109.2 143.64 177.6 212.66
"20/09/2013" 124 116.6 145.18 164.22 110 144.76 179 214.34
"20/03/2014" 126.4 118.8 147.98 167.3 112 147.56 182.4 218.4
"20/09/2014" 127.6 120 149.52 168.98 113.2 149.1 184.2 220.64
"20/03/2015" 128.4 120.8 150.5 170.1 114 150.08 185.4 222.18
"20/09/2015" 129.4 121.8 151.76 171.5 115 151.34 186.8 224
"20/03/2016" 130.4 122.8 153.02 172.9 116 152.6 188.2 225.82
"20/09/2016" 130.6 123 153.3 173.18 116.2 152.88 188.6 226.24
