"fy_year" "bracket_level" "lower_bracket" "marginal_rate"
"1" "2003-04" 1 0 0
"2" "2003-04" 2 6000 0.17
"3" "2003-04" 3 21600 0.3
"4" "2003-04" 4 52000 0.42
"5" "2003-04" 5 62500 0.47
"6" "2004-05" 1 0 0
"7" "2004-05" 2 6000 0.17
"8" "2004-05" 3 21600 0.3
"9" "2004-05" 4 58000 0.42
"10" "2004-05" 5 70000 0.47
"11" "2005-06" 1 0 0
"12" "2005-06" 2 6000 0.15
"13" "2005-06" 3 21600 0.3
"14" "2005-06" 4 63000 0.42
"15" "2005-06" 5 95000 0.47
"16" "2006-07" 1 0 0
"17" "2006-07" 2 6000 0.15
"18" "2006-07" 3 25000 0.3
"19" "2006-07" 4 75000 0.4
"20" "2006-07" 5 150000 0.45
"21" "2007-08" 1 0 0
"22" "2007-08" 2 6000 0.15
"23" "2007-08" 3 30000 0.3
"24" "2007-08" 4 75000 0.4
"25" "2007-08" 5 150000 0.45
"26" "2008-09" 1 0 0
"27" "2008-09" 2 6000 0.15
"28" "2008-09" 3 34000 0.3
"29" "2008-09" 4 80000 0.4
"30" "2008-09" 5 180000 0.45
"31" "2009-10" 1 0 0
"32" "2009-10" 2 6000 0.15
"33" "2009-10" 3 35000 0.3
"34" "2009-10" 4 80000 0.38
"35" "2009-10" 5 180000 0.45
"36" "2010-11" 1 0 0
"37" "2010-11" 2 6000 0.15
"38" "2010-11" 3 35000 0.3
"39" "2010-11" 4 80000 0.37
"40" "2010-11" 5 180000 0.45
"41" "2011-12" 1 0 0
"42" "2011-12" 2 6000 0.15
"43" "2011-12" 3 35000 0.3
"44" "2011-12" 4 80000 0.37
"45" "2011-12" 5 180000 0.45
"46" "2012-13" 1 0 0
"47" "2012-13" 2 18200 0.19
"48" "2012-13" 3 37000 0.325
"49" "2012-13" 4 80000 0.37
"50" "2012-13" 5 180000 0.45
"51" "2013-14" 1 0 0
"52" "2013-14" 2 18200 0.19
"53" "2013-14" 3 37000 0.325
"54" "2013-14" 4 80000 0.37
"55" "2013-14" 5 180000 0.45
"56" "2014-15" 1 0 0
"57" "2014-15" 2 18200 0.19
"58" "2014-15" 3 37000 0.325
"59" "2014-15" 4 80000 0.37
"60" "2014-15" 5 180000 0.45
"61" "2015-16" 1 0 0
"62" "2015-16" 2 18200 0.19
"63" "2015-16" 3 37000 0.325
"64" "2015-16" 4 80000 0.37
"65" "2015-16" 5 180000 0.45
"66" "2016-17" 1 0 0
"67" "2016-17" 2 18200 0.19
"68" "2016-17" 3 37000 0.325
"69" "2016-17" 4 87000 0.37
"70" "2016-17" 5 180000 0.45
