"fyear" "bracket_level" "upper_bracket" "marginal_rate"
"2003-04" 1 6000 0
"2003-04" 2 21600 0.17
"2003-04" 3 52000 0.3
"2003-04" 4 62500 0.42
"2003-04" 5 Inf 0.47
"2004-05" 1 6000 0
"2004-05" 2 21600 0.17
"2004-05" 3 58000 0.3
"2004-05" 4 70000 0.42
"2004-05" 5 Inf 0.47
"2005-06" 1 6000 0
"2005-06" 2 21600 0.15
"2005-06" 3 63000 0.3
"2005-06" 4 95000 0.42
"2005-06" 5 Inf 0.47
"2006-07" 1 6000 0
"2006-07" 2 25000 0.15
"2006-07" 3 75000 0.3
"2006-07" 4 150000 0.4
"2006-07" 5 Inf 0.45
"2007-08" 1 6000 0
"2007-08" 2 30000 0.15
"2007-08" 3 75000 0.3
"2007-08" 4 150000 0.4
"2007-08" 5 Inf 0.45
"2008-09" 1 6000 0
"2008-09" 2 34000 0.15
"2008-09" 3 80000 0.3
"2008-09" 4 180000 0.4
"2008-09" 5 Inf 0.45
"2009-10" 1 6000 0
"2009-10" 2 35000 0.15
"2009-10" 3 80000 0.3
"2009-10" 4 180000 0.38
"2009-10" 5 Inf 0.45
"2010-11" 1 6000 0
"2010-11" 2 35000 0.15
"2010-11" 3 80000 0.3
"2010-11" 4 180000 0.37
"2010-11" 5 Inf 0.45
"2011-12" 1 6000 0
"2011-12" 2 35000 0.15
"2011-12" 3 80000 0.3
"2011-12" 4 180000 0.37
"2011-12" 5 Inf 0.45
"2012-13" 1 18200 0
"2012-13" 2 37000 0.19
"2012-13" 3 80000 0.325
"2012-13" 4 180000 0.37
"2012-13" 5 Inf 0.45
"2013-14" 1 18200 0
"2013-14" 2 37000 0.19
"2013-14" 3 80000 0.325
"2013-14" 4 180000 0.37
"2013-14" 5 Inf 0.45
"2014-15" 1 18200 0
"2014-15" 2 37000 0.19
"2014-15" 3 80000 0.325
"2014-15" 4 180000 0.37
"2014-15" 5 Inf 0.45
"2015-16" 1 18200 0
"2015-16" 2 37000 0.19
"2015-16" 3 80000 0.325
"2015-16" 4 180000 0.37
"2015-16" 5 Inf 0.45
"2016-17" 1 18200 0
"2016-17" 2 37000 0.19
"2016-17" 3 87000 0.325
"2016-17" 4 180000 0.37
"2016-17" 5 Inf 0.45
