"fy_year" "sato" "pto" "sapto" "family_status" "lower_threshold" "upper_threshold" "taper" "rate" "lower_family_threshold" "upper_family_threshold" "lower_up_for_each_child"
"2003-04" FALSE FALSE FALSE "individual" 15529 16789 0.2 0.015 26205 26206 2406
"2004-05" FALSE FALSE FALSE "individual" 15902 17192 0.2 0.015 26834 26835 2464
"2005-06" FALSE FALSE FALSE "individual" 16284 17605 0.2 0.015 27478 27479 2523
"2006-07" FALSE FALSE FALSE "individual" 16740 19695 0.1 0.015 28247 28248 2594
"2007-08" FALSE FALSE FALSE "individual" 17309 20363 0.1 0.015 29207 29208 2682
"2008-09" FALSE FALSE FALSE "individual" 17794 20934 0.1 0.015 30025 35324 2757
"2009-10" FALSE FALSE FALSE "individual" 18488 21750 0.1 0.015 31196 36702 2865
"2010-11" FALSE FALSE FALSE "individual" 18839 22163 0.1 0.015 31789 37399 2919
"2011-12" FALSE FALSE FALSE "individual" 19404 22828 0.1 0.015 32743 38522 3007
"2012-13" FALSE FALSE FALSE "individual" 20542 24168 0.1 0.015 33693 39639 3094
"2013-14" FALSE FALSE FALSE "individual" 20542 24167 0.1 0.015 34367 40432 3156
"2014-15" FALSE FALSE FALSE "individual" 20896 26121 0.1 0.02 35261 44077 3238
"2015-16" FALSE FALSE FALSE "individual" 21335 26668 0.1 0.02 36001 44077 3306
"2016-17" FALSE FALSE FALSE "individual" 21335 26668 0.1 0.02 36001 44077 3306
