"fy_year" "family_status_index" "family_status" "max_offset" "lower_threshold" "upper_threshold" "taper_rate" "source" "sapto" "sato" "pto"
"2003-04" 1 "single" 1928 17342 32766 0.125 "https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2003-04.pdf" 0 0 1
"2004-05" 1 "single" 1928 17342 32766 0.125 "https://www.dss.gov.au/sites/default/files/documents/06_2012/tax2004-05.pdf" 0 0 1
"2005-06" 1 "single" 1928 17342 32766 0.125 "https://www.dss.gov.au/sites/default/files/documents/06_2012/tax_2005-06.pdf" 0 0 1
"2006-07" 1 "single" 2018 19454 71196 0.125 "http://www.inthepicture.com.au/tax_rates.pdf" 0 0 1
"2007-08" 1 "single" 2018 19454 71196 0.125 "http://www.lewistaxation.com.au/tax/historic-tax-tax/senior-australians-tax-offset-historical" 0 0 1
"2008-09" 1 "single" 2230 28867 46707 0.125 "http://www.lewistaxation.com.au/tax/historic-tax-tax/senior-australians-tax-offset-historical" 0 1 0
"2009-10" 1 "single" 2230 29867 47707 0.125 "http://www.lewistaxation.com.au/tax/historic-tax-tax/senior-australians-tax-offset-historical" 0 1 0
"2010-11" 1 "single" 2230 30685 48525 0.125 "http://www.lewistaxation.com.au/tax/historic-tax-tax/senior-australians-tax-offset-historical" 0 1 0
"2011-12" 1 "single" 2230 30685 48525 0.125 "http://www.lewistaxation.com.au/tax/historic-tax-tax/senior-australians-tax-offset-historical" 0 1 0
"2012-13" 1 "single" 2230 32279 50119 0.125 NA 1 0 0
"2013-14" 1 "single" 2230 32279 50119 0.125 NA 1 0 0
"2014-15" 1 "single" 2230 32279 50119 0.125 NA 1 0 0
"2015-16" 1 "single" 2230 32279 50119 0.125 NA 1 0 0
"2016-17" 1 "single" 2230 32279 50119 0.125 NA 1 0 0
